,station_code,code,code2,code3,interchange,NS,SW,CC,EW,NE,BP,CE,DT,PW,TE,PE,CG,SE,name,totalTapIn,totalTapOut,Cluster,postal,x,y,lat,long,subzone,area,region,status,bus_interchange,mrt_interchange,svc,bus count,pop,hub,min_dist,nearest_hub,bus_rank,pop_rank,dist_rank,pop-bus_rank,code1
0,BP6/DT1,BP6,DT1,,TRUE,,,,,,6,,1,,,,,,Bukit Panjang,503763.25,540350.25,0,678213,20011.39812,40108.68377,1.379002116,103.7615351,Gombak,Bukit Batok,West,operational,TRUE,TRUE,"170A,974A,972A,176,180A,190A,963,961M,180,171,961,160,974,178,970,177,67,983,979,963R,973,972,187,190,963e,75,NR3,973A,960,972M,922,975C,920,184,975,976",36,9930,FALSE,5.529046359,Jurong East,0.869918699,0.504065041,0.650406504,-0.365853659,
40,CC10/DT26,CC10,DT26,,TRUE,,,10,,,,,26,,,,,,MacPherson,229332.25,218221.75,2,378956,34230.01048,34264.54353,1.326150245,103.8892986,Macpherson,Geylang,Central,operational,FALSE,TRUE,"24,155,135,154,70,80A,137,76,43,158,63A,65,43e,80,28,63,61,70A,70M,40,63M",21,28360,FALSE,6.287144607,Raffles Place,0.650406504,0.735772358,0.796747967,0.085365854,
80,CC11,CC11,,,FALSE,,,11,,,,,,,,,,,Tai Seng,222885.5,225728.5,1,534803,34128.79235,35258.74882,1.335141501,103.8883893,Tai Seng,Hougang,North-East,operational,FALSE,FALSE,"24,70,151,80A,76,58A,43,158,62A,90A,62,90,22,93,58B,80,28,70A,70M,58",20,13830,FALSE,6.624440279,Tampines,0.62195122,0.593495935,0.821138211,-0.028455285,
120,CC12,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley,87827.5,75543.75,2,539788,33214.93397,36072.52553,1.342501178,103.8801779,Bidadari,Toa Payoh,Central,operational,FALSE,FALSE,"93,158,129,28",4,0,,,,,,,,
160,CC14,CC14,,,FALSE,,,14,,,,,,,,,,,Lorong Chuan,104689,100974.75,2,554533,31431.40547,37079.94437,1.351612171,103.8641519,Lorong Chuan,Serangoon,North-East,operational,FALSE,FALSE,"105,58",2,8490,FALSE,7.635612297,Raffles Place,0.052845528,0.463414634,0.910569106,0.410569106,
200,CC16,CC16,,,FALSE,,,16,,,,,,,,,,,Marymount,118507,114434.5,2,573993,28679.36877,36758.71365,1.348707263,103.8394231,Upper Thomson,Bishan,Central,operational,FALSE,FALSE,"163,130,167,851,54,165,410G,162M,74,52,162,855,852,132,166,410,410W,980",18,29390,FALSE,7.304788437,Raffles Place,0.56504065,0.756097561,0.886178862,0.191056911,
240,CC17/TE9,CC17,TE9,,TRUE,,,17,,,,,,,9,,,,Caldecott,74797,72068.75,0,297608,28761.5758,35491.34314,1.337245613,103.8401618,Toa Payoh West,Toa Payoh,Central,operational,FALSE,TRUE,"141,235",2,14360,FALSE,6.038770778,Raffles Place,0.052845528,0.613821138,0.723577236,0.56097561,
280,CC19/DT9,CC19,DT9,,TRUE,,,19,,,,,9,,,,,,Botanic Gardens,77084,83539.75,2,257494,25959.6005,33818.14422,1.322113736,103.8149845,Tyersall,Tanglin,Central,operational,FALSE,TRUE,"170A,186,153,154,151,48,67,156",8,3880,FALSE,5.8554404,Raffles Place,0.223577236,0.390243902,0.699186992,0.166666667,
320,CC2,CC2,,,FALSE,,,2,,,,,,,,,,,Bras Basah,49258.75,52827.75,2,189561,29930.76738,31025.9016,1.296861686,103.8506674,Bras Basah,Museum,Central,operational,FALSE,FALSE,"130,147,850E,124,147A,162M,7A,12,131,502,2A,133,32,111,656,851,16,665,162,660,33,166,36,16M,857,851e,502A,167,190,174,652,51,175,14A,518,80,63,951E,77,960,174e,131A,61,14e,7,145,857B,12e,106,36B,960e,2,36A,197,518A,663,14",57,10,FALSE,1.418937125,Raffles Place,0.991869919,0.032520325,0.146341463,-0.959349593,
360,CC20,CC20,,,FALSE,,,20,,,,,,,,,,,Farrer Road,72332.25,73231.5,2,268857,25113.2012,33301.26022,1.317439152,103.8073792,Farrer Court,Bukit Timah,Central,operational,FALSE,FALSE,"93,186,174,961,153,5N,165,855,48,961M",10,6180,FALSE,6.143011399,Raffles Place,0.296747967,0.414634146,0.74796748,0.117886179,
400,CC21,CC21,,,FALSE,,,21,,,,,,,,,,,Holland Village,106599.75,113445.75,2,278995,23891.21523,32726.41283,1.312240296,103.7963991,Leedon Park,Bukit Timah,Central,operational,FALSE,FALSE,"7,5N,106,75,NR8,165,970,7B,95,48,77,61",12,6440,FALSE,6.449275378,Jurong East,0.361788618,0.422764228,0.81300813,0.06097561,
440,CC22/EW21,CC22,EW21,,TRUE,,,22,21,,,,,,,,,,Buona Vista,305493.5,279576.75,2,139345,23207.2578,32171.7151,1.307223708,103.7902535,One North,Queenstown,Central,operational,TRUE,TRUE,"92B,147,95B,196,111,105,92M,198,NR5,185,200A,NR8,100,74,200,191,92,91,106,95,92A,14",22,720,FALSE,6.061857011,Jurong East,0.678861789,0.24796748,0.731707317,-0.430894309,
480,CC23,CC23,,,FALSE,,,23,,,,,,,,,,,one-north,132341.25,128568.75,1,138647,22896.07281,31346.4081,1.299759875,103.7874575,One North,Queenstown,Central,operational,FALSE,FALSE,"191,91",2,720,FALSE,6.245205184,Jurong East,0.052845528,0.24796748,0.772357724,0.195121951,
520,CC24,CC24,,,FALSE,,,24,,,,,,,,,,,Kent Ridge,239850.5,230404,1,118177,22575.01071,30657.93329,1.293533499,103.7845727,National University Of S'Pore,Queenstown,Central,operational,FALSE,FALSE,"166,92,92B,33A,97,200A,963e,200,92A,95,95B,963,33,197,14",15,240,FALSE,6.442487103,Jurong East,0.479674797,0.182926829,0.804878049,-0.296747967,
560,CC25,CC25,,,FALSE,,,25,,,,,,,,,,,Haw Par Villa,91745.25,85259.75,2,117396,22261.1431,29445.80204,1.282571358,103.7817527,Pasir Panjang 1,Queenstown,Central,operational,FALSE,FALSE,"30,200A,51,176,175,200,10,143,188,30e",10,4510,FALSE,7.133194912,Jurong East,0.296747967,0.398373984,0.87804878,0.101626016,
600,CC26,CC26,,,FALSE,,,26,,,,,,,,,,,Pasir Panjang,71427,75581.25,1,117424,23329.26471,28742.76576,1.276213522,103.7913503,Port,Queenstown,Central,operational,FALSE,FALSE,"30,51,176,188e,175,10,143,188,30e",9,120,FALSE,6.740080252,Raffles Place,0.25203252,0.146341463,0.853658537,-0.105691057,
640,CC27,CC27,,,FALSE,,,27,,,,,,,,,,,Labrador Park,49590.25,51106.25,1,109029,24584.77505,28304.9441,1.272254177,103.8026316,Maritime Square,Bukit Merah,Central,operational,FALSE,FALSE,"166,93,30,57,97,963,51,176,100,175,10,120,143,188,30e,61",16,3620,FALSE,5.586505633,Raffles Place,0.520325203,0.365853659,0.658536585,-0.154471545,
680,CC28,CC28,,,FALSE,,,28,,,,,,,,,,,Telok Blangah,54512.5,53591,0,109028,25378.2908,28133.79905,1.270706477,103.8097616,Maritime Square,Bukit Merah,Central,operational,FALSE,FALSE,"143,93,166,30,57,61,97,963,176,100,124,10,120,97e,188R,188,963R",17,3620,FALSE,4.86991539,Raffles Place,0.548780488,0.365853659,0.56097561,-0.182926829,
720,CC3,CC3,,,FALSE,,,3,,,,,,,,,,,Esplanade,76862,67622,2,189562,30421.99348,30671.62777,1.293657725,103.8550812,City Hall,Downtown Core,Central,operational,FALSE,FALSE,"130,850E,162M,107M,70,502,131,961M,196A,133,196,111,56,656,961,665,162,660,36,16M,857,502A,167,652,100,10e,518,10,196e,951E,77,960,14e,131A,107,57,857B,106,36B,960e,16,518A,663,14",44,80,FALSE,1.133726852,Raffles Place,0.93495935,0.12601626,0.113821138,-0.808943089,
760,CC4/DT15,CC4,DT15,,TRUE,,,4,,,,,15,,,,,,Promenade,170624.25,179801.5,2,39193,31008.36188,30709.25781,1.293997986,103.86035,Marina Centre,Downtown Core,Central,operational,TRUE,TRUE,"97,162M,107M,502,97e,133,111,868E,36,857,502A,518,857B,70A,106,70M,36B,36A,518A",19,10,FALSE,1.476950364,Raffles Place,0.589430894,0.032520325,0.170731707,-0.556910569,
800,CC5,CC5,,,FALSE,,,5,,,,,,,,,,,Nicoll Highway,52465,53374.5,2,38970,31374.16493,31347.15287,1.299766847,103.863637,Nicoll,Downtown Core,Central,operational,FALSE,FALSE,"196,70A,70M,70,14A,10,16,196A,16M,14",10,290,FALSE,2.20382304,Raffles Place,0.296747967,0.203252033,0.243902439,-0.093495935,
840,CC6,CC6,,,FALSE,,,6,,,,,,,,,,,Stadium,93102.25,95493.75,2,397692,32676.34771,31683.94076,1.302812468,103.8753377,Tanjong Rhu,Kallang,Central,operational,FALSE,FALSE,11,1,11110,FALSE,3.37082345,Raffles Place,0.016260163,0.544715447,0.382113821,0.528455285,
880,CC7,CC7,,,FALSE,,,7,,,,,,,,,,,Mountbatten,90921.5,93317,2,398006,33476.56343,32058.74185,1.306201905,103.8825281,Aljunied,Geylang,Central,operational,FALSE,FALSE,"196,30,11,158,14A,158A,12,196A,401,14",10,39990,FALSE,4.237082533,Raffles Place,0.296747967,0.886178862,0.487804878,0.589430894,
920,CC8,CC8,,,FALSE,,,8,,,,,,,,,,,Dakota,114832,101820,2,397973,34204.0253,32318.17446,1.308547984,103.8890647,Aljunied,Geylang,Central,operational,FALSE,FALSE,"32,30,33,33B,10,31,16,401,16M,30e",10,39990,FALSE,4.984850374,Raffles Place,0.296747967,0.886178862,0.577235772,0.589430894,
960,CE1/DT16,CE1,DT16,,TRUE,,,,,,,1,16,,,,,,Bayfront,282228,289490.75,2,18957,30867.00927,29368.62503,1.281873789,103.8590798,Bayfront Subzone,Downtown Core,Central,operational,FALSE,TRUE,"NR6,502A,97,106,NR1,518,502,97e,518A,133",10,0,,,,,,,,
1000,CG1/DT35,CG1,DT35,,TRUE,,,,,,,,35,,,,1,,Expo,132057.25,132488,2,485985,42362.60346,35285.70839,1.335382526,103.9623747,Xilin,Tampines,East,operational,FALSE,TRUE,"20,118,47",3,1760,FALSE,2.763834563,Tampines,0.089430894,0.321138211,0.317073171,0.231707317,
1040,CG2,CG2,,,FALSE,,,,,,,,,,,,2,,Changi Airport,101091.5,98673.25,2,819661,45201.32039,37729.19338,1.357478974,103.9878836,Changi Airport,Changi,East,operational,TRUE,FALSE,"53A,858,24,858B,27,53,110,34B,34,36",10,10,FALSE,4.773682429,Tampines,0.296747967,0.032520325,0.552845528,-0.264227642,
1080,DT10,DT10,,,FALSE,,,,,,,,10,,,,,,Stevens,70168,57205.25,2,257877,27188.22996,33591.66086,1.320065558,103.8260244,Nassim,Tanglin,Central,operational,FALSE,TRUE,"170A,105,190,972A,NR3,960e,NR2,190A,48,960,132,972M,67,972",14,9520,FALSE,4.895610882,Raffles Place,0.447154472,0.487804878,0.569105691,0.040650407,
1120,DT13,DT13,,,FALSE,,,,,,,,13,,,,,,Rochor,111988.75,115462.5,2,188505,30164.70185,31798.87668,1.303852185,103.8527694,Bencoolen,Rochor,Central,operational,FALSE,FALSE,"170A,131A,56,851e,166,57,851,23,960e,131,48,960,4N,2N,67,980",16,1310,FALSE,2.198307019,Raffles Place,0.520325203,0.296747967,0.235772358,-0.223577236,
1160,DT17,DT17,,,FALSE,,,,,,,,17,,,,,,Downtown,135764.75,135289,1,18969,30172.66881,29100.20877,1.279446382,103.8528408,Central Subzone,Downtown Core,Central,operational,FALSE,FALSE,"130,186,672,97,670,653,850E,651,671,70,131,97e,502,982E,196A,513,666,133,196,656,970,665,655,162,660,502A,167,652,75,100,661,10e,10,196e,951E,667,654,131A,107,57,668,657,106,400,663",45,880,FALSE,0.542423165,Raffles Place,0.943089431,0.264227642,0.048780488,-0.678861789,
1200,DT18,DT18,,,FALSE,,,,,,,,18,,,,,,Telok Ayer,132294.25,141547.5,1,48416,29706.12592,29390.19539,1.282068948,103.8486488,Chinatown,Outram,Central,operational,FALSE,FALSE,"130,186,850E,70,131,196,656,970,665,868E,162,660,167,652,75,100,10e,10,196e,951E,107,57,663",23,10490,FALSE,0.387403788,Raffles Place,0.719512195,0.520325203,0.040650407,-0.199186992,
1240,DT2,DT2,,,FALSE,,,,,,,,2,,,,,,Cashew,37019.25,29857.25,2,679696,20334.55891,39092.85854,1.369815449,103.7644392,Jelebu,Bukit Panjang,West,operational,FALSE,FALSE,"170A,961,184,176,75,178,970,177,963,961M,67",11,31310,FALSE,4.762761326,Jurong East,0.337398374,0.788617886,0.544715447,0.451219512,
1280,DT20,DT20,,,FALSE,,,,,,,,20,,,,,,Fort Canning,59072.5,62220.75,2,179038,29225.62761,30541.60877,1.292481948,103.8443314,Clarke Quay,Singapore River,Central,operational,FALSE,FALSE,"NR6,5N,195,139,2N,1N,32,195A,NR5,6N,NR8,64,NR3,NR2,4N,123,NR1,3N,143,54",20,130,FALSE,1.221342837,Raffles Place,0.62195122,0.158536585,0.130081301,-0.463414634,
1320,DT21,DT21,,,FALSE,,,,,,,,21,,,,,,Bencoolen,72228,67475,2,189658,29895.86395,31253.32587,1.298918434,103.8503538,Bencoolen,Rochor,Central,operational,FALSE,FALSE,"NR6,147,5N,850E,124,147A,162M,139,131,502,2N,1N,111,56,656,665,162,660,166,36,16M,857,502A,167,190,6N,174,652,65,64,175,518,951E,77,4N,174e,131A,14e,7,857B,106,3N,36B,16,518A,663,14",47,1310,FALSE,1.64949142,Raffles Place,0.955284553,0.296747967,0.203252033,-0.658536585,
1360,DT22,DT22,,,FALSE,,,,,,,,22,,,,,,Jalan Besar,80820.75,87332.5,0,208826,30445.85298,31944.74962,1.305171388,103.8552957,Sungei Road,Rochor,Central,operational,FALSE,FALSE,"170A,130,147,147A,139,2N,851,48,67,857,851e,64,65,23,960,4N,57,857B,960e",19,2050,FALSE,2.378679686,Raffles Place,0.589430894,0.333333333,0.284552846,-0.256097561,
1400,DT23,DT23,,,FALSE,,,,,,,,23,,,,,,Bendemeer,48946.25,49219,1,339356,31300.76761,32884.77092,1.313672528,103.8629776,Kallang Bahru,Kallang,Central,operational,FALSE,FALSE,"961,175,107M,961M,107,61",6,20,FALSE,3.52606839,Raffles Place,0.150406504,0.073170732,0.398373984,-0.077235772,
1440,DT24,DT24,,,FALSE,,,,,,,,24,,,,,,Geylang Bahru,74081.75,73595.5,0,339355,32262.86126,33728.31269,1.321301102,103.8716226,Geylang Bahru,Kallang,Central,operational,FALSE,FALSE,"26,853,175,107M,853M,140,107,61",8,11280,FALSE,4.702203235,Raffles Place,0.223577236,0.552845528,0.520325203,0.329268293,
1480,DT25,DT25,,,FALSE,,,,,,,,25,,,,,,Mattar,56477.25,59515.25,2,379314,33556.58344,34344.85853,1.326876715,103.8832475,Macpherson,Geylang,Central,operational,FALSE,FALSE,"155,135,154,158,65,40,63,63A,63M,61",10,28360,FALSE,5.923120648,Raffles Place,0.296747967,0.735772358,0.707317073,0.43902439,
1520,DT27,DT27,,,FALSE,,,,,,,,27,,,,,,Ubi,112029,111569.5,2,408899,35334.89183,34687.41099,1.32997426,103.8992267,Kampong Ubi,Geylang,Central,operational,FALSE,FALSE,"61,63,137,65,8,63A,63M,22",8,11800,FALSE,5.725692256,Tampines,0.223577236,0.577235772,0.674796748,0.353658537,
1560,DT28,DT28,,,FALSE,,,,,,,,28,,,,,,Kaki Bukit,141341.5,137041.25,2,415804,36362.37828,35239.55226,1.33496736,103.9084593,Kaki Bukit,Bedok,East,operational,FALSE,FALSE,"15A,5,59,58A,87,15,58B,58",8,37150,FALSE,4.559287374,Tampines,0.223577236,0.825203252,0.504065041,0.601626016,
1600,DT29,DT29,,,FALSE,,,,,,,,29,,,,,,Bedok North,105759,96387.25,0,479481,37421.74382,35214.68039,1.334742117,103.9179783,Kaki Bukit,Bedok,East,operational,FALSE,FALSE,"87,23,518,137,137A,60,60T",7,37150,FALSE,3.657719985,Tampines,0.18699187,0.825203252,0.406504065,0.638211382,
1640,DT3,DT3,,,FALSE,,,,,,,,3,,,,,,Hillview,92629.75,84220.75,0,678211,20666.06755,38266.78985,1.362344868,103.7674183,Nature Reserve,Bukit Panjang,West,operational,FALSE,FALSE,"170A,973,961,653,184,176,75,178,970,963,961M,67",12,3850,FALSE,4.282728415,Jurong East,0.361788618,0.382113821,0.495934959,0.020325203,
1680,DT30,DT30,,,FALSE,,,,,,,,30,,,,,,Bedok Reservoir,102690.75,98861.5,0,469724,39008.31316,35421.04087,1.33660783,103.9322346,Bedok Reservoir,Bedok,East,operational,FALSE,FALSE,"5,21,59,168,46,65,69,CT18,28,18,228,2N,67",13,25470,FALSE,2.34634673,Tampines,0.406504065,0.691056911,0.276422764,0.284552846,
1720,DT31,DT31,,,FALSE,,,,,,,,31,,,,,,Tampines West,110811.5,117267.5,0,529683,39698.52759,36406.01433,1.345515306,103.938437,Tampines West,Tampines,East,operational,FALSE,FALSE,"46,513,2N,18,5,15,129,8,67,15A,59,118B,65,23,518,69,28,21,118,168,118A",21,79670,FALSE,1.14263002,Tampines,0.650406504,0.967479675,0.12195122,0.317073171,
1760,DT33,DT33,,,FALSE,,,,,,,,33,,,,,,Tampines East,244577.25,228995.25,0,529623,41501.07485,37586.61776,1.356191483,103.9546345,Tampines East,Tampines,East,operational,FALSE,FALSE,"9A,19,34B,12,293T,34,18,37,17,29A,8,3,4,59,38,518,81,29,21,12e,293,39,9",23,130980,FALSE,1.102787123,Tampines,0.719512195,0.995934959,0.097560976,0.276422764,
1800,DT34,DT34,,,FALSE,,,,,,,,34,,,,,,Upper Changi,54853.5,50693.75,2,485990,42262.18797,35988.65688,1.341739774,103.9614728,Simei,Tampines,East,operational,FALSE,FALSE,"24,2,5,4N",4,39450,FALSE,2.224288376,Tampines,0.105691057,0.857723577,0.25203252,0.75203252,
1840,DT5,DT5,,,FALSE,,,,,,,,5,,,,,,Beauty World,160784,162179.75,0,588216,21598.16648,35931.23589,1.341223176,103.7757943,Anak Bukit,Bukit Timah,Central,operational,FALSE,FALSE,"170A,852,961M,961,157,970,985,67,174,75,52,77,174e,66,61,184,41,3N,173",19,21870,FALSE,3.831476629,Jurong East,0.589430894,0.650406504,0.430894309,0.06097561,
1880,DT6,DT6,,,FALSE,,,,,,,,6,,,,,,King Albert Park,86568.5,79996.5,2,599987,22444.48957,35316.24791,1.335661613,103.7833991,Holland Road,Bukit Timah,Central,operational,FALSE,FALSE,"170A,174,961,154,157,74,970,151,852,77,961M,67",12,10840,FALSE,4.578800951,Jurong East,0.361788618,0.536585366,0.512195122,0.174796748,
